adria	6	0	0	0	0	0
albert	0	4	0	0	0	0
albertg	0	6	0	0	0	0
ana	0	0	0	0	0	1
annab	0	0	5	0	0	0
aram	0	0	0	0	0	0
carles	0	2	0	0	0	0
carme	0	0	0	5	0	0
carol	1	0	0	0	0	0
eduard	0	0	0	0	0	0
eloi	0	0	0	0	0	0
erola	0	0	2	0	0	0
gabriel	0	0	0	2	0	0
gemma	0	0	0	0	5	0
guifre	0	0	0	0	0	5
joan	0	0	0	0	2	0
joanb	0	0	0	0	0	0
joanm	0	4	0	0	0	0
judit	0	0	0	0	0	0
judith	0	0	0	0	0	2
lucia	0	0	0	0	0	0
maite	0	0	0	0	0	0
manel	2	0	0	0	0	0
mar	0	0	4	0	0	0
marc	0	0	0	0	0	1
maria	0	2	0	0	0	0
mariona	0	0	2	0	0	0
marta	0	0	0	2	0	0
merce	0	0	5	0	0	0
monica	0	0	0	0	2	0
monicag	0	0	0	5	0	0
ningu	0	0	0	0	0	0
nuria	0	0	0	0	5	0
olga	0	0	0	4	0	0
otilia	0	0	0	0	0	5
pau	0	0	0	0	0	2
roger	0	0	0	0	4	0
rogerlf	5	0	0	0	0	0
sergi	2	0	0	0	0	0
silvia	0	2	0	0	0	0
tania	0	0	2	0	0	0
vane	0	0	0	0	0	4
vero	4	0	0	0	0	0
vic	0	0	0	2	0	0
victor	0	0	0	0	0	0
yaiza	0	0	0	0	2	0
